Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Previous_owners,Condition,Central_locking,Alarm,Radio,Sunroof,Magnesium_wheels,Leather_seats,Airbag,For_sale,For_exchange
Opel,2014,70000,فيراني,1,خصوصي,1,2,1,1400,3,5,0,1,1,1,1,1,1,1,0,1,1,0
Skoda,2014,112000,أسود ميتالك,0,خصوصي,1,2,1,2000,3,5,0,1,1,1,1,1,0,1,1,1,1,0
Isuzu,1998,50000,أحمر,0,خصوصي,1,0,1,3100,1,7,0,3,1,1,1,1,0,1,0,1,1,0
Mercedes,1978,15000,ذهبي,1,عمومي,1,2,0,2000,3,5,1,2,0,0,0,1,0,1,0,0,1,1
Volkswagen,2010,68000,أسود,0,خصوصي,1,0,1,1600,3,7,0,2,1,1,0,1,1,0,1,1,1,0
Volkswagen,2008,67000,أزرق سماوي,1,خصوصي,1,2,1,1800,3,5,0,1,1,1,1,1,0,1,1,1,1,1
Volkswagen,1997,25000,أخضر,1,تأجير,1,0,1,1600,3,5,1,2,0,1,1,1,1,1,0,1,1,0
BMW,2005,100000,أزرق,1,خصوصي,1,1,1,2300,1,5,1,3,1,1,0,1,1,1,1,1,1,1
Kia,2014,118000,رمادي,0,خصوصي,1,2,1,2000,4,5,0,1,1,1,1,1,0,1,1,1,1,1
Kia,2010,43000,أبيض عاجي,0,عمومي,1,0,1,1500,3,5,1,2,1,1,1,1,0,1,1,1,1,1
Volkswagen,2014,95000,أبيض,0,خصوصي,1,0,1,1600,3,7,1,2,1,1,1,1,0,1,1,1,1,1
Opel,1995,24000,أبيض,1,خصوصي,1,0,1,1400,4,5,0,3,1,1,1,1,0,0,1,1,1,0
Skoda,2014,86000,سكني,1,خصوصي,1,2,1,1400,3,5,0,0,1,1,1,1,0,1,0,1,0,1
Volkswagen,2006,18500,فضي,1,خصوصي,0,2,1,2000,2,5,0,2,1,1,1,1,0,1,0,1,1,0
Citroen,2015,60000,أزرق,1,خصوصي,1,1,1,1200,4,5,1,1,1,1,1,1,0,0,0,1,1,1
Hyundai,2008,37000,رصاصي,1,تأجير,1,2,1,1400,3,5,0,2,1,1,1,1,0,0,0,1,1,0
